[PASS] r1a_mean_value_8  κ₃·6/π = 8
[PASS] r1a_mean_flow  κ₃·2/(2π)³ = 1/(3π²)
[PASS] r1a_young_12pi  ∫_{|z|≤3ρ}|z|⁻² = 12πρ
[PASS] r1a_shell_series  Σ_{j≥1}2⁻ʲ = 1
[PASS] r1a_holder_pair  5/6 = 1/2 + 1/3
[PASS] r1a_cm  c_m = 1 + 1/(6π²)
[PASS] r1b_step_factor  3√3/(σ/4k) = 12√3k/σ
[PASS] r1b_mv_8  (κ₃(σ/4)³)^{-1/2} = 8κ₃^{-1/2}σ^{-3/2}
[PASS] r1b_closure_exp  (2n+5)/(2n+4) = 1+1/(2n+4)
[PASS] r1b_n_eta  n(η)=⌊(1/η−5)/2⌋+1 ⇒ (1+1/(2n+4))(1−η) < 1 on the η-grid
[PASS] rd_race_ratio  Ω/ω² picks exactly (1−ε)^W
[PASS] rd_eta_pos  η′ = −log₂(1−ε) > 0
[PASS] rd_affine_solve  exact affine solve; ≤ a^W(x₀+b/(a−1))
[PASS] rd_leakage  leakage ≤ rent/2 ⟺ K ≥ C_ψ/(343θ)
[PASS] rd_rent_cancel  rent·window = θ·Ω_core exactly
[PASS] r2a_floor_sharp  C-S equality case: floor sharp
[PASS] r2a_geometry  cylinder ⊂ B_{√2 s} ⊂ B_{2s}
[PASS] r2b_count_solve  N = (2πc_NΩ/Γ²)^{3/4}
[PASS] r2c2_mv16  mean-value factor (d/2)⁻⁴ = 16d⁻⁴
[PASS] r3a_gamma_min  γ cancels: Γ_min = 4c_ccR₇ν/C₁′
[PASS] r3a_ce  stack: E ≥ Γ²L/(4πδ²), c_E = 1/4π
[PASS] r3b_rm_clause  πR₇/R_m² ≤ 1/24b₃ ⟺ R_m² ≥ 24πb₃R₇
[PASS] r3b_fatness  s² = Γ/(πω) at the flux bound
[PASS] r4a_overtone_eq  overtone equilibrium γ-free
[PASS] r4a_window  Δ₀-clause ⇒ equilibrium ≤ c*/4
[PASS] r4b_kgrace  C_ent·e^{−2c₁c·k_grace} = c*/2 at the formula
[PASS] r4c_zero_mean_id  θᵀS_⊥θ = cos(2φ−2β): pure oscillation, zero mean
[PASS] r4c_cav_form  C_av assembly explicit
[PASS] r2asm_allocation  3/8 + 3·(1/24) = 1/2 exactly
[PASS] r2asm_log_slot  8/3 < e: the calibrated-log slot unchanged
[PASS] r1d_lock  ε*ν² = κ₃s⁴M² ⟺ M = (ε*/κ₃)^{1/2}ν/s²
[PASS] s1_inheritance  3D(1−1.5D)a − 2Da = Da(1−4.5D) ≥ 0 for D ≤ 1/6 (indeed ≤ 2/9)
[PASS] pow_dominate  x^(5/8) ≤ x^(5/6)+1 on the grid (split at x = 1)

33/33 gates PASS, 0 FAIL
